"EQID","STATID","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude","X_ev","Y_ev","X_stat","Y_stat"
3,57,4.93,195.613779657365,195.4,"NF",1453.,0.0902,44.5418,6.6932,46.2351,7.36423,-159.933571826645,4965.72749812934,-88.6689396886609,5148.58020831718
3,58,4.93,175.837853694362,175.6,"NF",567.,0.3173495,44.5418,6.6932,46.09889,7.07477,-159.933571826645,4965.72749812934,-112.497041674605,5135.65372428159
3,59,4.93,195.014437393338,194.8,"NF",289.,0.598896,44.5418,6.6932,46.2863,6.9406,-159.933571826645,4965.72749812934,-120.736405842897,5157.51640691333
3,60,4.93,89.9657756696401,89.5,"NF",1746.,1.0021275,44.5418,6.6932,43.753,6.922,-159.933571826645,4965.72749812934,-150.418593375925,4876.25603036195
3,61,4.93,116.260056734203,115.9,"NF",509.780263,7.563874,44.5418,6.6932,43.5479,7.1313,-159.933571826645,4965.72749812934,-135.736062336551,4851.83507216942
3,62,4.93,108.386303525123,108,"NF",1062.,2.3157605,44.5418,6.6932,45.2413,5.7439,-159.933571826645,4965.72749812934,-226.419663071934,5051.60344773355
3,63,4.93,49.7473696977036,48.9,"NF",1918.530373,7.146845,44.5418,6.6932,44.184,7.05,-159.933571826645,4965.72749812934,-135.466908987292,4923.13746357689
3,64,4.93,183.22824779995,183,"NF",1152.822424,0.0863965,44.5418,6.6932,46.1541,6.2202,-159.933571826645,4965.72749812934,-177.837992238447,5148.76988228823
3,65,4.93,188.621713468625,188.4,"NF",850.270617,0.3711255,44.5418,6.6932,46.04,5.57,-159.933571826645,4965.72749812934,-229.5320470237,5141.89981559091
3,66,4.93,31.1709927952255,29.8,"NF",1295.701438,4.179525,44.5418,6.6932,44.786,6.538,-159.933571826645,4965.72749812934,-169.427265588071,4994.13061740371
3,67,4.93,61.681365028994,61,"NF",1239.494916,2.470675,44.5418,6.6932,44.108,6.225,-159.933571826645,4965.72749812934,-202.331161112641,4921.45134204046
3,68,4.93,87.1807363575234,86.7,"NF",548.230537,0.862721,44.5418,6.6932,45.2057,6.11673,-159.933571826645,4965.72749812934,-197.602134993002,5044.33279568211
3,69,4.93,74.5626635243136,74,"NF",923.366145,2.0822455,44.5418,6.6932,45.208,6.6831,-159.933571826645,4965.72749812934,-153.102685221193,5039.81503585228
3,70,4.93,91.3586382989589,90.9,"NF",2104.247859,2.829289,44.5418,6.6932,45.0608,5.80464,-159.933571826645,4965.72749812934,-223.954506509105,5031.0045459749
3,71,4.93,91.8561418297111,91.4,"NF",991.136545,1.56139,44.5418,6.6932,45.0648,5.802,-159.933571826645,4965.72749812934,-224.111407610594,5031.47267943386
3,72,4.93,91.9556457855634,91.5,"NF",396.388473,0.905967,44.5418,6.6932,45.0695,5.8061,-159.933571826645,4965.72749812934,-223.728836394483,5031.95775728708
3,73,4.93,142.493616670502,142.2,"NF",866.250142,0.269307,44.5418,6.6932,45.6093,5.69724,-159.933571826645,4965.72749812934,-225.311682743683,5092.90067016013
3,74,4.93,128.026875271718,127.7,"NF",1611.797964,0.273579,44.5418,6.6932,45.69,6.62,-159.933571826645,4965.72749812934,-152.436958587163,5093.86816690633
3,75,4.93,92.7517158431045,92.3,"NF",1249.364125,1.055672,44.5418,6.6932,43.986,7.553,-159.933571826645,4965.72749812934,-97.2552955167758,4897.35150639309
3,76,4.93,14.7699286335446,11.6,"NF",518.,45.5223385,44.5418,6.6932,44.48,6.81,-159.933571826645,4965.72749812934,-151.346409922792,4957.91829570551
3,77,4.93,188.821478629525,188.6,"NF",773.611996,0.223493,44.5418,6.6932,45.279,4.542,-159.933571826645,4965.72749812934,-320.180169822969,5067.42743783761
