,0,1,2,3
325,-325.0,4775.0,-25.0,0.0
326,-325.0,4800.0,-25.0,0.0
327,-325.0,4825.0,-25.0,0.0
328,-325.0,4850.0,-25.0,0.0
329,-325.0,4875.0,-25.0,0.0
330,-325.0,4900.0,-25.0,0.0
331,-325.0,4925.0,-25.0,0.0
332,-325.0,4950.0,-25.0,0.0
333,-325.0,4975.0,-25.0,0.0
334,-325.0,5000.0,-25.0,0.0
335,-325.0,5025.0,-25.0,0.0
336,-325.0,5050.0,-25.0,0.0
337,-325.0,5075.0,-25.0,0.0
338,-325.0,5100.0,-25.0,0.0
339,-325.0,5125.0,-25.0,0.0
340,-325.0,5150.0,-25.0,0.0
341,-325.0,5175.0,-25.0,0.0
342,-325.0,5200.0,-25.0,0.0
343,-325.0,5225.0,-25.0,0.0
344,-325.0,5250.0,-25.0,0.0
345,-325.0,5275.0,-25.0,0.0
346,-325.0,5300.0,-25.0,0.0
347,-325.0,5325.0,-25.0,0.0
348,-300.0,3900.0,-25.0,0.0
349,-300.0,3925.0,-25.0,0.0
350,-300.0,3950.0,-25.0,0.0
351,-300.0,3975.0,-25.0,0.0
352,-300.0,4000.0,-25.0,0.0
353,-300.0,4025.0,-25.0,0.0
354,-300.0,4050.0,-25.0,0.0
355,-300.0,4075.0,-25.0,0.0
356,-300.0,4100.0,-25.0,0.0
357,-300.0,4125.0,-25.0,0.0
358,-300.0,4150.0,-25.0,0.0
359,-300.0,4175.0,-25.0,0.0
360,-300.0,4200.0,-25.0,0.0
361,-300.0,4225.0,-25.0,0.0
362,-300.0,4250.0,-25.0,0.0
363,-300.0,4275.0,-25.0,0.0
364,-300.0,4300.0,-25.0,0.0
365,-300.0,4325.0,-25.0,0.0
366,-300.0,4350.0,-25.0,0.0
367,-300.0,4375.0,-25.0,0.0
368,-300.0,4400.0,-25.0,0.0
369,-300.0,4425.0,-25.0,0.0
370,-300.0,4450.0,-25.0,0.0
371,-300.0,4475.0,-25.0,0.0
372,-300.0,4500.0,-25.0,0.0
373,-300.0,4525.0,-25.0,0.0
374,-300.0,4550.0,-25.0,0.0
375,-300.0,4575.0,-25.0,0.0
376,-300.0,4600.0,-25.0,0.0
377,-300.0,4625.0,-25.0,0.0
378,-300.0,4650.0,-25.0,0.0
379,-300.0,4675.0,-25.0,0.0
380,-300.0,4700.0,-25.0,0.0
381,-300.0,4725.0,-25.0,0.0
382,-300.0,4750.0,-25.0,0.0
383,-300.0,4775.0,-25.0,0.0
384,-300.0,4800.0,-25.0,0.0
385,-300.0,4825.0,-25.0,0.0
386,-300.0,4850.0,-25.0,0.0
387,-300.0,4875.0,-25.0,0.0
388,-300.0,4900.0,-25.0,0.0
389,-300.0,4925.0,-25.0,0.0
390,-300.0,4950.0,-25.0,0.0
391,-300.0,4975.0,-25.0,0.0
392,-300.0,5000.0,-25.0,0.0
393,-300.0,5025.0,-25.0,0.0
394,-300.0,5050.0,-25.0,0.0
395,-300.0,5075.0,-25.0,0.0
396,-300.0,5100.0,-25.0,0.0
397,-300.0,5125.0,-25.0,0.0
398,-300.0,5150.0,-25.0,0.0
399,-300.0,5175.0,-25.0,0.0
400,-300.0,5200.0,-25.0,0.0
401,-300.0,5225.0,-25.0,0.0
402,-300.0,5250.0,-25.0,0.0
403,-300.0,5275.0,-25.0,0.0
404,-300.0,5300.0,-25.0,0.0
405,-300.0,5325.0,-25.0,0.0
406,-275.0,3900.0,-25.0,0.0
407,-275.0,3925.0,-25.0,0.0
408,-275.0,3950.0,-25.0,0.0
409,-275.0,3975.0,-25.0,0.0
410,-275.0,4000.0,-25.0,0.0
411,-275.0,4025.0,-25.0,0.0
412,-275.0,4050.0,-25.0,0.0
413,-275.0,4075.0,-25.0,0.0
414,-275.0,4100.0,-25.0,0.0
415,-275.0,4125.0,-25.0,0.0
416,-275.0,4150.0,-25.0,0.0
417,-275.0,4175.0,-25.0,0.0
418,-275.0,4200.0,-25.0,0.0
419,-275.0,4225.0,-25.0,0.0
420,-275.0,4250.0,-25.0,0.0
421,-275.0,4275.0,-25.0,0.0
422,-275.0,4300.0,-25.0,0.0
423,-275.0,4325.0,-25.0,0.0
424,-275.0,4350.0,-25.0,0.0
425,-275.0,4375.0,-25.0,0.0
426,-275.0,4400.0,-25.0,0.0
427,-275.0,4425.0,-25.0,0.0
428,-275.0,4450.0,-25.0,0.0
429,-275.0,4475.0,-25.0,0.0
430,-275.0,4500.0,-25.0,0.0
431,-275.0,4525.0,-25.0,0.0
432,-275.0,4550.0,-25.0,0.0
433,-275.0,4575.0,-25.0,0.0
434,-275.0,4600.0,-25.0,0.0
435,-275.0,4625.0,-25.0,0.0
436,-275.0,4650.0,-25.0,0.0
437,-275.0,4675.0,-25.0,0.0
438,-275.0,4700.0,-25.0,0.0
439,-275.0,4725.0,-25.0,0.0
440,-275.0,4750.0,-25.0,0.0
441,-275.0,4775.0,-25.0,0.0
442,-275.0,4800.0,-25.0,0.0
443,-275.0,4825.0,-25.0,0.0
444,-275.0,4850.0,-25.0,0.0
445,-275.0,4875.0,-25.0,0.0
446,-275.0,4900.0,-25.0,0.0
447,-275.0,4925.0,-25.0,0.0
448,-275.0,4950.0,-25.0,0.0
449,-275.0,4975.0,-25.0,0.0
450,-275.0,5000.0,-25.0,0.0
451,-275.0,5025.0,-25.0,0.0
452,-275.0,5050.0,-25.0,0.0
453,-275.0,5075.0,-25.0,0.0
454,-275.0,5100.0,-25.0,0.0
455,-275.0,5125.0,-25.0,0.0
456,-275.0,5150.0,-25.0,0.0
457,-275.0,5175.0,-25.0,0.0
458,-275.0,5200.0,-25.0,0.0
459,-275.0,5225.0,-25.0,0.0
460,-275.0,5250.0,-25.0,0.0
461,-275.0,5275.0,-25.0,0.0
462,-275.0,5300.0,-25.0,0.0
463,-275.0,5325.0,-25.0,0.0
464,-250.0,3900.0,-25.0,0.0
465,-250.0,3925.0,-25.0,0.0
466,-250.0,3950.0,-25.0,0.0
467,-250.0,3975.0,-25.0,0.0
468,-250.0,4000.0,-25.0,0.0
469,-250.0,4025.0,-25.0,0.0
470,-250.0,4050.0,-25.0,0.0
471,-250.0,4075.0,-25.0,0.0
